"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98276,98276,60,990,2000
2,97286,97286,60,1020,2075
3,96266,96266,60,1050,2150
4,95216,95216,60,1110,2225
5,94106,94106,60,1140,2300
6,92966,92966,60,1170,2375
7,91796,91796,60,1200,2450
8,90596,90596,60,1260,2525
9,89336,89336,60,1290,2600
10,88046,88046,60,1320,2675
11,86726,86726,60,1350,2750
12,85376,85376,60,1410,2825
13,83966,83966,60,1440,2900
14,82526,82526,60,1470,2975
15,81056,81056,60,1500,3050
16,79556,79556,60,1560,3125
17,77996,77996,60,1590,3200
18,76406,76406,60,1620,3275
19,74786,74786,60,1650,3350
20,73136,73136,60,1710,3425
21,71426,71426,60,1740,3500
22,69686,69686,60,1770,3575
23,67916,67916,60,1800,3650
24,66116,66116,60,1860,3725
25,64256,64256,60,1890,3800
26,62366,62366,60,1920,3875
27,60446,60446,60,1950,3950
28,58496,58496,60,2010,4025
29,56486,56486,60,2040,4100
30,54446,54446,60,2070,4175
31,52376,52376,60,2100,4250
32,50276,50276,60,2160,4325
33,48116,48116,60,2190,4400
34,45926,45926,60,2220,4475
35,43706,43706,60,2250,4550
36,41456,41456,60,2310,4625
37,39146,39146,60,2340,4700
38,36806,36806,60,2370,4775
39,34436,34436,60,2400,4850
40,32036,32036,60,2460,4925
41,29576,29576,60,2490,5000
42,27086,27086,60,2520,5075
43,24566,24566,60,2550,5150
44,22016,22016,60,2610,5225
45,19406,19406,60,2640,5300
46,16766,16766,60,2670,5375
47,14096,14096,60,2700,5450
48,11396,11396,60,2760,5525
49,8636,8636,60,2790,5600
50,5863,5863,60,2820,5675
