"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,97875,97875,60,990,2000
2,96885,96885,60,1020,2075
3,95865,95865,60,1050,2150
4,94815,94815,60,1110,2225
5,93705,93705,60,1140,2300
6,92565,92565,60,1170,2375
7,91395,91395,60,1200,2450
8,90195,90195,60,1260,2525
9,88935,88935,60,1290,2600
10,87645,87645,60,1320,2675
11,86325,86325,60,1350,2750
12,84975,84975,60,1410,2825
13,83565,83565,60,1440,2900
14,82125,82125,60,1470,2975
15,80655,80655,60,1500,3050
16,79155,79155,60,1560,3125
17,77595,77595,60,1590,3200
18,76005,76005,60,1620,3275
19,74385,74385,60,1650,3350
20,72735,72735,60,1710,3425
21,71025,71025,60,1740,3500
22,69285,69285,60,1770,3575
23,67515,67515,60,1800,3650
24,65715,65715,60,1860,3725
25,63855,63855,60,1890,3800
26,61965,61965,60,1920,3875
27,60045,60045,60,1950,3950
28,58095,58095,60,2010,4025
29,56085,56085,60,2040,4100
30,54045,54045,60,2070,4175
31,51975,51975,60,2100,4250
32,49875,49875,60,2160,4325
33,47715,47715,60,2190,4400
34,45525,45525,60,2220,4475
35,43305,43305,60,2250,4550
36,41055,41055,60,2310,4625
37,38745,38745,60,2340,4700
38,36405,36405,60,2370,4775
39,34035,34035,60,2400,4850
40,31635,31635,60,2460,4925
41,29175,29175,60,2490,5000
42,26685,26685,60,2520,5075
43,24165,24165,60,2550,5150
44,21615,21615,60,2610,5225
45,19005,19005,60,2640,5300
46,16365,16365,60,2670,5375
47,13695,13695,60,2700,5450
48,10995,10995,60,2760,5525
49,8235,8235,60,2790,5600
50,5445,5445,60,2820,5675
