"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98023,98023,60,990,2000
2,97033,97033,60,1020,2075
3,96013,96013,60,1050,2150
4,94963,94963,60,1110,2225
5,93853,93853,60,1140,2300
6,92713,92713,60,1170,2375
7,91543,91543,60,1200,2450
8,90343,90343,60,1260,2525
9,89083,89083,60,1290,2600
10,87793,87793,60,1320,2675
11,86473,86473,60,1350,2750
12,85123,85123,60,1410,2825
13,83713,83713,60,1440,2900
14,82273,82273,60,1470,2975
15,80803,80803,60,1500,3050
16,79303,79303,60,1560,3125
17,77743,77743,60,1590,3200
18,76153,76153,60,1620,3275
19,74533,74533,60,1650,3350
20,72883,72883,60,1710,3425
21,71173,71173,60,1740,3500
22,69433,69433,60,1770,3575
23,67663,67663,60,1800,3650
24,65863,65863,60,1860,3725
25,64003,64003,60,1890,3800
26,62113,62113,60,1920,3875
27,60193,60193,60,1950,3950
28,58243,58243,60,2010,4025
29,56233,56233,60,2040,4100
30,54193,54193,60,2070,4175
31,52123,52123,60,2100,4250
32,50023,50023,60,2160,4325
33,47863,47863,60,2190,4400
34,45673,45673,60,2220,4475
35,43453,43453,60,2250,4550
36,41203,41203,60,2310,4625
37,38893,38893,60,2340,4700
38,36553,36553,60,2370,4775
39,34183,34183,60,2400,4850
40,31783,31783,60,2460,4925
41,29323,29323,60,2490,5000
42,26833,26833,60,2520,5075
43,24313,24313,60,2550,5150
44,21763,21763,60,2610,5225
45,19153,19153,60,2640,5300
46,16513,16513,60,2670,5375
47,13843,13843,60,2700,5450
48,11143,11143,60,2760,5525
49,8383,8383,60,2790,5600
50,5644,5644,60,2820,5675
