"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,97705,97705,60,990,2000
2,96715,96715,60,1020,2075
3,95695,95695,60,1050,2150
4,94645,94645,60,1110,2225
5,93535,93535,60,1140,2300
6,92395,92395,60,1170,2375
7,91225,91225,60,1200,2450
8,90025,90025,60,1260,2525
9,88765,88765,60,1290,2600
10,87475,87475,60,1320,2675
11,86155,86155,60,1350,2750
12,84805,84805,60,1410,2825
13,83395,83395,60,1440,2900
14,81955,81955,60,1470,2975
15,80485,80485,60,1500,3050
16,78985,78985,60,1560,3125
17,77425,77425,60,1590,3200
18,75835,75835,60,1620,3275
19,74215,74215,60,1650,3350
20,72565,72565,60,1710,3425
21,70855,70855,60,1740,3500
22,69115,69115,60,1770,3575
23,67345,67345,60,1800,3650
24,65545,65545,60,1860,3725
25,63685,63685,60,1890,3800
26,61795,61795,60,1920,3875
27,59875,59875,60,1950,3950
28,57925,57925,60,2010,4025
29,55915,55915,60,2040,4100
30,53875,53875,60,2070,4175
31,51805,51805,60,2100,4250
32,49705,49705,60,2160,4325
33,47545,47545,60,2190,4400
34,45355,45355,60,2220,4475
35,43135,43135,60,2250,4550
36,40885,40885,60,2310,4625
37,38575,38575,60,2340,4700
38,36235,36235,60,2370,4775
39,33865,33865,60,2400,4850
40,31465,31465,60,2460,4925
41,29005,29005,60,2490,5000
42,26515,26515,60,2520,5075
43,23995,23995,60,2550,5150
44,21445,21445,60,2610,5225
45,18835,18835,60,2640,5300
46,16195,16195,60,2670,5375
47,13525,13525,60,2700,5450
48,10825,10825,60,2760,5525
49,8065,8065,60,2790,5600
50,5275,5275,60,2820,5675
