"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98573,98573,60,990,2000
2,97583,97583,60,1020,2075
3,96563,96563,60,1050,2150
4,95513,95513,60,1110,2225
5,94403,94403,60,1140,2300
6,93263,93263,60,1170,2375
7,92093,92093,60,1200,2450
8,90893,90893,60,1260,2525
9,89633,89633,60,1290,2600
10,88343,88343,60,1320,2675
11,87023,87023,60,1350,2750
12,85673,85673,60,1410,2825
13,84263,84263,60,1440,2900
14,82823,82823,60,1470,2975
15,81353,81353,60,1500,3050
16,79853,79853,60,1560,3125
17,78293,78293,60,1590,3200
18,76703,76703,60,1620,3275
19,75083,75083,60,1650,3350
20,73433,73433,60,1710,3425
21,71723,71723,60,1740,3500
22,69983,69983,60,1770,3575
23,68213,68213,60,1800,3650
24,66413,66413,60,1860,3725
25,64553,64553,60,1890,3800
26,62663,62663,60,1920,3875
27,60743,60743,60,1950,3950
28,58793,58793,60,2010,4025
29,56783,56783,60,2040,4100
30,54743,54743,60,2070,4175
31,52673,52673,60,2100,4250
32,50573,50573,60,2160,4325
33,48413,48413,60,2190,4400
34,46223,46223,60,2220,4475
35,44003,44003,60,2250,4550
36,41753,41753,60,2310,4625
37,39443,39443,60,2340,4700
38,37103,37103,60,2370,4775
39,34733,34733,60,2400,4850
40,32333,32333,60,2460,4925
41,29873,29873,60,2490,5000
42,27383,27383,60,2520,5075
43,24863,24863,60,2550,5150
44,22313,22313,60,2610,5225
45,19703,19703,60,2640,5300
46,17063,17063,60,2670,5375
47,14393,14393,60,2700,5450
48,11693,11693,60,2760,5525
49,8933,8933,60,2790,5600
50,6143,6143,60,2820,5675
