"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98593,98593,60,990,2000
2,97603,97603,60,1020,2075
3,96583,96583,60,1050,2150
4,95533,95533,60,1110,2225
5,94423,94423,60,1140,2300
6,93283,93283,60,1170,2375
7,92113,92113,60,1200,2450
8,90913,90913,60,1260,2525
9,89653,89653,60,1290,2600
10,88363,88363,60,1320,2675
11,87043,87043,60,1350,2750
12,85693,85693,60,1410,2825
13,84283,84283,60,1440,2900
14,82843,82843,60,1470,2975
15,81373,81373,60,1500,3050
16,79873,79873,60,1560,3125
17,78313,78313,60,1590,3200
18,76723,76723,60,1620,3275
19,75103,75103,60,1650,3350
20,73453,73453,60,1710,3425
21,71743,71743,60,1740,3500
22,70003,70003,60,1770,3575
23,68233,68233,60,1800,3650
24,66433,66433,60,1860,3725
25,64573,64573,60,1890,3800
26,62683,62683,60,1920,3875
27,60763,60763,60,1950,3950
28,58813,58813,60,2010,4025
29,56803,56803,60,2040,4100
30,54763,54763,60,2070,4175
31,52693,52693,60,2100,4250
32,50593,50593,60,2160,4325
33,48433,48433,60,2190,4400
34,46243,46243,60,2220,4475
35,44023,44023,60,2250,4550
36,41773,41773,60,2310,4625
37,39463,39463,60,2340,4700
38,37123,37123,60,2370,4775
39,34753,34753,60,2400,4850
40,32353,32353,60,2460,4925
41,29893,29893,60,2490,5000
42,27403,27403,60,2520,5075
43,24883,24883,60,2550,5150
44,22333,22333,60,2610,5225
45,19723,19723,60,2640,5300
46,17083,17083,60,2670,5375
47,14413,14413,60,2700,5450
48,11713,11713,60,2760,5525
49,8953,8953,60,2790,5600
50,6163,6163,60,2820,5675
