"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98078,98078,60,990,2000
2,97088,97088,60,1020,2075
3,96068,96068,60,1050,2150
4,95018,95018,60,1110,2225
5,93908,93908,60,1140,2300
6,92768,92768,60,1170,2375
7,91598,91598,60,1200,2450
8,90398,90398,60,1260,2525
9,89138,89138,60,1290,2600
10,87848,87848,60,1320,2675
11,86528,86528,60,1350,2750
12,85178,85178,60,1410,2825
13,83768,83768,60,1440,2900
14,82328,82328,60,1470,2975
15,80858,80858,60,1500,3050
16,79358,79358,60,1560,3125
17,77798,77798,60,1590,3200
18,76208,76208,60,1620,3275
19,74588,74588,60,1650,3350
20,72938,72938,60,1710,3425
21,71228,71228,60,1740,3500
22,69488,69488,60,1770,3575
23,67718,67718,60,1800,3650
24,65918,65918,60,1860,3725
25,64058,64058,60,1890,3800
26,62168,62168,60,1920,3875
27,60248,60248,60,1950,3950
28,58298,58298,60,2010,4025
29,56288,56288,60,2040,4100
30,54248,54248,60,2070,4175
31,52178,52178,60,2100,4250
32,50078,50078,60,2160,4325
33,47918,47918,60,2190,4400
34,45728,45728,60,2220,4475
35,43508,43508,60,2250,4550
36,41258,41258,60,2310,4625
37,38948,38948,60,2340,4700
38,36608,36608,60,2370,4775
39,34238,34238,60,2400,4850
40,31838,31838,60,2460,4925
41,29378,29378,60,2490,5000
42,26888,26888,60,2520,5075
43,24368,24368,60,2550,5150
44,21818,21818,60,2610,5225
45,19208,19208,60,2640,5300
46,16568,16568,60,2670,5375
47,13898,13898,60,2700,5450
48,11198,11198,60,2760,5525
49,8438,8438,60,2790,5600
50,5648,5648,60,2820,5675
