"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,97858,97858,60,990,2000
2,96868,96868,60,1020,2075
3,95848,95848,60,1050,2150
4,94798,94798,60,1110,2225
5,93688,93688,60,1140,2300
6,92548,92548,60,1170,2375
7,91378,91378,60,1200,2450
8,90178,90178,60,1260,2525
9,88918,88918,60,1290,2600
10,87628,87628,60,1320,2675
11,86308,86308,60,1350,2750
12,84958,84958,60,1410,2825
13,83548,83548,60,1440,2900
14,82108,82108,60,1470,2975
15,80638,80638,60,1500,3050
16,79138,79138,60,1560,3125
17,77578,77578,60,1590,3200
18,75988,75988,60,1620,3275
19,74368,74368,60,1650,3350
20,72718,72718,60,1710,3425
21,71008,71008,60,1740,3500
22,69268,69268,60,1770,3575
23,67498,67498,60,1800,3650
24,65698,65698,60,1860,3725
25,63838,63838,60,1890,3800
26,61948,61948,60,1920,3875
27,60028,60028,60,1950,3950
28,58078,58078,60,2010,4025
29,56068,56068,60,2040,4100
30,54028,54028,60,2070,4175
31,51958,51958,60,2100,4250
32,49858,49858,60,2160,4325
33,47698,47698,60,2190,4400
34,45508,45508,60,2220,4475
35,43288,43288,60,2250,4550
36,41038,41038,60,2310,4625
37,38728,38728,60,2340,4700
38,36388,36388,60,2370,4775
39,34018,34018,60,2400,4850
40,31618,31618,60,2460,4925
41,29158,29158,60,2490,5000
42,26668,26668,60,2520,5075
43,24148,24148,60,2550,5150
44,21598,21598,60,2610,5225
45,18988,18988,60,2640,5300
46,16348,16348,60,2670,5375
47,13678,13678,60,2700,5450
48,10978,10978,60,2760,5525
49,8218,8218,60,2790,5600
50,5455,5455,60,2820,5675
