"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98651,98651,60,990,2000
2,97661,97661,60,1020,2075
3,96641,96641,60,1050,2150
4,95591,95591,60,1110,2225
5,94481,94481,60,1140,2300
6,93341,93341,60,1170,2375
7,92171,92171,60,1200,2450
8,90971,90971,60,1260,2525
9,89711,89711,60,1290,2600
10,88421,88421,60,1320,2675
11,87101,87101,60,1350,2750
12,85751,85751,60,1410,2825
13,84341,84341,60,1440,2900
14,82901,82901,60,1470,2975
15,81431,81431,60,1500,3050
16,79931,79931,60,1560,3125
17,78371,78371,60,1590,3200
18,76781,76781,60,1620,3275
19,75161,75161,60,1650,3350
20,73511,73511,60,1710,3425
21,71801,71801,60,1740,3500
22,70061,70061,60,1770,3575
23,68291,68291,60,1800,3650
24,66491,66491,60,1860,3725
25,64631,64631,60,1890,3800
26,62741,62741,60,1920,3875
27,60821,60821,60,1950,3950
28,58871,58871,60,2010,4025
29,56861,56861,60,2040,4100
30,54821,54821,60,2070,4175
31,52751,52751,60,2100,4250
32,50651,50651,60,2160,4325
33,48491,48491,60,2190,4400
34,46301,46301,60,2220,4475
35,44081,44081,60,2250,4550
36,41831,41831,60,2310,4625
37,39521,39521,60,2340,4700
38,37181,37181,60,2370,4775
39,34811,34811,60,2400,4850
40,32411,32411,60,2460,4925
41,29951,29951,60,2490,5000
42,27461,27461,60,2520,5075
43,24941,24941,60,2550,5150
44,22391,22391,60,2610,5225
45,19781,19781,60,2640,5300
46,17141,17141,60,2670,5375
47,14471,14471,60,2700,5450
48,11771,11771,60,2760,5525
49,9011,9011,60,2790,5600
50,6221,6221,60,2820,5675
