"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98389,98389,60,990,2000
2,97399,97399,60,1020,2075
3,96379,96379,60,1050,2150
4,95329,95329,60,1110,2225
5,94219,94219,60,1140,2300
6,93079,93079,60,1170,2375
7,91909,91909,60,1200,2450
8,90709,90709,60,1260,2525
9,89449,89449,60,1290,2600
10,88159,88159,60,1320,2675
11,86839,86839,60,1350,2750
12,85489,85489,60,1410,2825
13,84079,84079,60,1440,2900
14,82639,82639,60,1470,2975
15,81169,81169,60,1500,3050
16,79669,79669,60,1560,3125
17,78109,78109,60,1590,3200
18,76519,76519,60,1620,3275
19,74899,74899,60,1650,3350
20,73249,73249,60,1710,3425
21,71539,71539,60,1740,3500
22,69799,69799,60,1770,3575
23,68029,68029,60,1800,3650
24,66229,66229,60,1860,3725
25,64369,64369,60,1890,3800
26,62479,62479,60,1920,3875
27,60559,60559,60,1950,3950
28,58609,58609,60,2010,4025
29,56599,56599,60,2040,4100
30,54559,54559,60,2070,4175
31,52489,52489,60,2100,4250
32,50389,50389,60,2160,4325
33,48229,48229,60,2190,4400
34,46039,46039,60,2220,4475
35,43819,43819,60,2250,4550
36,41569,41569,60,2310,4625
37,39259,39259,60,2340,4700
38,36919,36919,60,2370,4775
39,34549,34549,60,2400,4850
40,32149,32149,60,2460,4925
41,29689,29689,60,2490,5000
42,27199,27199,60,2520,5075
43,24679,24679,60,2550,5150
44,22129,22129,60,2610,5225
45,19519,19519,60,2640,5300
46,16879,16879,60,2670,5375
47,14209,14209,60,2700,5450
48,11509,11509,60,2760,5525
49,8749,8749,60,2790,5600
50,5959,5959,60,2820,5675
