"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98208,98208,60,990,2000
2,97218,97218,60,1020,2075
3,96198,96198,60,1050,2150
4,95148,95148,60,1110,2225
5,94038,94038,60,1140,2300
6,92898,92898,60,1170,2375
7,91728,91728,60,1200,2450
8,90528,90528,60,1260,2525
9,89268,89268,60,1290,2600
10,87978,87978,60,1320,2675
11,86658,86658,60,1350,2750
12,85308,85308,60,1410,2825
13,83898,83898,60,1440,2900
14,82458,82458,60,1470,2975
15,80988,80988,60,1500,3050
16,79488,79488,60,1560,3125
17,77928,77928,60,1590,3200
18,76338,76338,60,1620,3275
19,74718,74718,60,1650,3350
20,73068,73068,60,1710,3425
21,71358,71358,60,1740,3500
22,69618,69618,60,1770,3575
23,67848,67848,60,1800,3650
24,66048,66048,60,1860,3725
25,64188,64188,60,1890,3800
26,62298,62298,60,1920,3875
27,60378,60378,60,1950,3950
28,58428,58428,60,2010,4025
29,56418,56418,60,2040,4100
30,54378,54378,60,2070,4175
31,52308,52308,60,2100,4250
32,50208,50208,60,2160,4325
33,48048,48048,60,2190,4400
34,45858,45858,60,2220,4475
35,43638,43638,60,2250,4550
36,41388,41388,60,2310,4625
37,39078,39078,60,2340,4700
38,36738,36738,60,2370,4775
39,34368,34368,60,2400,4850
40,31968,31968,60,2460,4925
41,29508,29508,60,2490,5000
42,27018,27018,60,2520,5075
43,24498,24498,60,2550,5150
44,21948,21948,60,2610,5225
45,19338,19338,60,2640,5300
46,16698,16698,60,2670,5375
47,14028,14028,60,2700,5450
48,11328,11328,60,2760,5525
49,8568,8568,60,2790,5600
50,5793,5793,60,2820,5675
