"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98512,98512,60,990,2000
2,97522,97522,60,1020,2075
3,96502,96502,60,1050,2150
4,95452,95452,60,1110,2225
5,94342,94342,60,1140,2300
6,93202,93202,60,1170,2375
7,92032,92032,60,1200,2450
8,90832,90832,60,1260,2525
9,89572,89572,60,1290,2600
10,88282,88282,60,1320,2675
11,86962,86962,60,1350,2750
12,85612,85612,60,1410,2825
13,84202,84202,60,1440,2900
14,82762,82762,60,1470,2975
15,81292,81292,60,1500,3050
16,79792,79792,60,1560,3125
17,78232,78232,60,1590,3200
18,76642,76642,60,1620,3275
19,75022,75022,60,1650,3350
20,73372,73372,60,1710,3425
21,71662,71662,60,1740,3500
22,69922,69922,60,1770,3575
23,68152,68152,60,1800,3650
24,66352,66352,60,1860,3725
25,64492,64492,60,1890,3800
26,62602,62602,60,1920,3875
27,60682,60682,60,1950,3950
28,58732,58732,60,2010,4025
29,56722,56722,60,2040,4100
30,54682,54682,60,2070,4175
31,52612,52612,60,2100,4250
32,50512,50512,60,2160,4325
33,48352,48352,60,2190,4400
34,46162,46162,60,2220,4475
35,43942,43942,60,2250,4550
36,41692,41692,60,2310,4625
37,39382,39382,60,2340,4700
38,37042,37042,60,2370,4775
39,34672,34672,60,2400,4850
40,32272,32272,60,2460,4925
41,29812,29812,60,2490,5000
42,27322,27322,60,2520,5075
43,24802,24802,60,2550,5150
44,22252,22252,60,2610,5225
45,19642,19642,60,2640,5300
46,17002,17002,60,2670,5375
47,14332,14332,60,2700,5450
48,11632,11632,60,2760,5525
49,8872,8872,60,2790,5600
50,6082,6082,60,2820,5675
