"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,97945,97945,60,990,2000
2,96955,96955,60,1020,2075
3,95935,95935,60,1050,2150
4,94885,94885,60,1110,2225
5,93775,93775,60,1140,2300
6,92635,92635,60,1170,2375
7,91465,91465,60,1200,2450
8,90265,90265,60,1260,2525
9,89005,89005,60,1290,2600
10,87715,87715,60,1320,2675
11,86395,86395,60,1350,2750
12,85045,85045,60,1410,2825
13,83635,83635,60,1440,2900
14,82195,82195,60,1470,2975
15,80725,80725,60,1500,3050
16,79225,79225,60,1560,3125
17,77665,77665,60,1590,3200
18,76075,76075,60,1620,3275
19,74455,74455,60,1650,3350
20,72805,72805,60,1710,3425
21,71095,71095,60,1740,3500
22,69355,69355,60,1770,3575
23,67585,67585,60,1800,3650
24,65785,65785,60,1860,3725
25,63925,63925,60,1890,3800
26,62035,62035,60,1920,3875
27,60115,60115,60,1950,3950
28,58165,58165,60,2010,4025
29,56155,56155,60,2040,4100
30,54115,54115,60,2070,4175
31,52045,52045,60,2100,4250
32,49945,49945,60,2160,4325
33,47785,47785,60,2190,4400
34,45595,45595,60,2220,4475
35,43375,43375,60,2250,4550
36,41125,41125,60,2310,4625
37,38815,38815,60,2340,4700
38,36475,36475,60,2370,4775
39,34105,34105,60,2400,4850
40,31705,31705,60,2460,4925
41,29245,29245,60,2490,5000
42,26755,26755,60,2520,5075
43,24235,24235,60,2550,5150
44,21685,21685,60,2610,5225
45,19075,19075,60,2640,5300
46,16435,16435,60,2670,5375
47,13765,13765,60,2700,5450
48,11065,11065,60,2760,5525
49,8305,8305,60,2790,5600
50,5541,5541,60,2820,5675
