"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,97808,97808,60,990,2000
2,96818,96818,60,1020,2075
3,95798,95798,60,1050,2150
4,94748,94748,60,1110,2225
5,93638,93638,60,1140,2300
6,92498,92498,60,1170,2375
7,91328,91328,60,1200,2450
8,90128,90128,60,1260,2525
9,88868,88868,60,1290,2600
10,87578,87578,60,1320,2675
11,86258,86258,60,1350,2750
12,84908,84908,60,1410,2825
13,83498,83498,60,1440,2900
14,82058,82058,60,1470,2975
15,80588,80588,60,1500,3050
16,79088,79088,60,1560,3125
17,77528,77528,60,1590,3200
18,75938,75938,60,1620,3275
19,74318,74318,60,1650,3350
20,72668,72668,60,1710,3425
21,70958,70958,60,1740,3500
22,69218,69218,60,1770,3575
23,67448,67448,60,1800,3650
24,65648,65648,60,1860,3725
25,63788,63788,60,1890,3800
26,61898,61898,60,1920,3875
27,59978,59978,60,1950,3950
28,58028,58028,60,2010,4025
29,56018,56018,60,2040,4100
30,53978,53978,60,2070,4175
31,51908,51908,60,2100,4250
32,49808,49808,60,2160,4325
33,47648,47648,60,2190,4400
34,45458,45458,60,2220,4475
35,43238,43238,60,2250,4550
36,40988,40988,60,2310,4625
37,38678,38678,60,2340,4700
38,36338,36338,60,2370,4775
39,33968,33968,60,2400,4850
40,31568,31568,60,2460,4925
41,29108,29108,60,2490,5000
42,26618,26618,60,2520,5075
43,24098,24098,60,2550,5150
44,21548,21548,60,2610,5225
45,18938,18938,60,2640,5300
46,16298,16298,60,2670,5375
47,13628,13628,60,2700,5450
48,10928,10928,60,2760,5525
49,8168,8168,60,2790,5600
50,5378,5378,60,2820,5675
