"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,1124824,1124824,60,120,400
"2",2,1124704,1124704,60,120,404.0816
"3",3,1124584,1124584,60,120,408.1632
"4",4,1124464,1124464,60,120,412.2448
"5",5,1124344,1124344,60,120,416.3264
"6",6,1124224,1124224,60,140,420.408
"7",7,1124084,1124084,60,140,424.4896
"8",8,1123944,1123944,60,140,428.5712
"9",9,1123804,1123804,60,140,432.6528
"10",10,1123664,1123664,60,140,436.7344
"11",11,1123524,1123524,60,140,440.816
"12",12,1123384,1123384,60,140,444.8976
"13",13,1123244,1123244,60,140,448.9792
"14",14,1123104,1123104,60,140,453.0608
"15",15,1122964,1122964,60,140,457.1424
"16",16,1122824,1122824,60,140,461.224
"17",17,1122684,1122684,60,140,465.3056
"18",18,1122544,1122544,60,140,469.3872
"19",19,1122404,1122404,60,140,473.4688
"20",20,1122264,1122264,60,140,477.5504
"21",21,1122124,1122124,60,160,481.632
"22",22,1121964,1121964,60,160,485.7136
"23",23,1121804,1121804,60,160,489.7952
"24",24,1121644,1121644,60,160,493.8768
"25",25,1121484,1121484,60,160,497.9584
"26",26,1121324,1121324,60,160,502.04
"27",27,1121164,1121164,60,160,506.121599999999
"28",28,1121004,1121004,60,160,510.203199999999
"29",29,1120844,1120844,60,160,514.284799999999
"30",30,1120684,1120684,60,160,518.366399999999
"31",31,1120524,1120524,60,160,522.447999999999
"32",32,1120364,1120364,60,160,526.529599999999
"33",33,1120204,1120204,60,160,530.611199999999
"34",34,1120044,1120044,60,160,534.692799999999
"35",35,1119884,1119884,60,160,538.774399999999
"36",36,1119724,1119724,60,180,542.855999999999
"37",37,1119544,1119544,60,180,546.937599999999
"38",38,1119364,1119364,60,180,551.019199999999
"39",39,1119184,1119184,60,180,555.100799999999
"40",40,1119004,1119004,60,180,559.182399999999
"41",41,1118824,1118824,60,180,563.263999999999
"42",42,1118644,1118644,60,180,567.345599999999
"43",43,1118464,1118464,60,180,571.427199999999
"44",44,1118284,1118284,60,180,575.508799999999
"45",45,1118104,1118104,60,180,579.590399999999
"46",46,1117924,1117924,60,180,583.671999999999
"47",47,1117744,1117744,60,180,587.753599999999
"48",48,1117564,1117564,60,180,591.835199999999
"49",49,1117384,1117384,60,180,595.916799999999
"50",50,1117204,1117204,60,180,599.998399999999
