"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,1124771,1124771,60,120,400
"2",2,1124651,1124651,60,120,404.0816
"3",3,1124531,1124531,60,120,408.1632
"4",4,1124411,1124411,60,120,412.2448
"5",5,1124291,1124291,60,120,416.3264
"6",6,1124171,1124171,60,140,420.408
"7",7,1124031,1124031,60,140,424.4896
"8",8,1123891,1123891,60,140,428.5712
"9",9,1123751,1123751,60,140,432.6528
"10",10,1123611,1123611,60,140,436.7344
"11",11,1123471,1123471,60,140,440.816
"12",12,1123331,1123331,60,140,444.8976
"13",13,1123191,1123191,60,140,448.9792
"14",14,1123051,1123051,60,140,453.0608
"15",15,1122911,1122911,60,140,457.1424
"16",16,1122771,1122771,60,140,461.224
"17",17,1122631,1122631,60,140,465.3056
"18",18,1122491,1122491,60,140,469.3872
"19",19,1122351,1122351,60,140,473.4688
"20",20,1122211,1122211,60,140,477.5504
"21",21,1122071,1122071,60,160,481.632
"22",22,1121911,1121911,60,160,485.7136
"23",23,1121751,1121751,60,160,489.7952
"24",24,1121591,1121591,60,160,493.8768
"25",25,1121431,1121431,60,160,497.9584
"26",26,1121271,1121271,60,160,502.04
"27",27,1121111,1121111,60,160,506.121599999999
"28",28,1120951,1120951,60,160,510.203199999999
"29",29,1120791,1120791,60,160,514.284799999999
"30",30,1120631,1120631,60,160,518.366399999999
"31",31,1120471,1120471,60,160,522.447999999999
"32",32,1120311,1120311,60,160,526.529599999999
"33",33,1120151,1120151,60,160,530.611199999999
"34",34,1119991,1119991,60,160,534.692799999999
"35",35,1119831,1119831,60,160,538.774399999999
"36",36,1119671,1119671,60,180,542.855999999999
"37",37,1119491,1119491,60,180,546.937599999999
"38",38,1119311,1119311,60,180,551.019199999999
"39",39,1119131,1119131,60,180,555.100799999999
"40",40,1118951,1118951,60,180,559.182399999999
"41",41,1118771,1118771,60,180,563.263999999999
"42",42,1118591,1118591,60,180,567.345599999999
"43",43,1118411,1118411,60,180,571.427199999999
"44",44,1118231,1118231,60,180,575.508799999999
"45",45,1118051,1118051,60,180,579.590399999999
"46",46,1117871,1117871,60,180,583.671999999999
"47",47,1117691,1117691,60,180,587.753599999999
"48",48,1117511,1117511,60,180,591.835199999999
"49",49,1117331,1117331,60,180,595.916799999999
"50",50,1117151,1117151,60,180,599.998399999999
