"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","harvested"
"1",1,124885,125209.750566893,10,50,3000,0,3000
"2",2,121751,122568.027210884,60,0,480,52,480
"3",3,121140,121972.789115646,60,0,480,63,480
"4",4,120548,121230.158730159,60,0,480,49,480
"5",5,119965,118781.179138322,60,0,480,49,480
"6",6,119374,118304.988662132,60,0,480,64,480
"7",7,118782,119506.802721088,60,0,480,59,480
"8",8,118194,118900.22675737,60,0,480,29,480
"9",9,117589,118123.58276644,60,0,480,60,480
"10",10,116983,116252.83446712,60,0,480,42,480
"11",11,116368,115759.637188209,60,0,480,40,480
"12",12,115766,114319.727891156,60,0,480,62,480
"13",13,115147,116632.653061224,60,0,480,62,480
"14",14,114560,113718.820861678,60,0,480,59,480
"15",15,113959,115379.818594104,60,0,480,61,480
"16",16,113362,114149.659863946,60,0,480,44,480
"17",17,112766,111666.666666667,60,0,480,53,480
"18",18,112176,111422.902494331,60,0,480,62,480
"19",19,111576,111031.746031746,60,0,480,66,480
"20",20,110973,112216.553287982,60,0,480,70,480
"21",21,110388,111388.888888889,60,0,480,47,480
"22",22,109791,108605.442176871,60,0,480,42,480
"23",23,109193,109183.673469388,60,0,480,48,480
"24",24,108609,109087.301587302,60,0,480,50,480
"25",25,108016,107273.242630385,60,0,480,43,480
"26",26,107430,107142.857142857,60,0,480,47,480
"27",27,106826,107052.154195011,60,0,480,50,480
"28",28,106261,106320.861678005,60,0,480,51,480
"29",29,105675,105232.426303855,60,0,480,58,480
"30",30,105095,104115.646258503,60,0,480,42,480
"31",31,104502,104574.829931973,60,0,480,59,480
"32",32,103923,104671.201814059,60,0,480,42,480
"33",33,103319,102137.188208617,60,0,480,47,480
"34",34,102732,102511.337868481,60,0,480,66,480
"35",35,102147,101303.854875283,60,0,480,50,480
"36",36,101579,102437.641723356,60,0,480,50,480
"37",37,100986,101609.977324263,60,0,480,50,480
"38",38,100403,100425.170068027,60,0,480,46,480
"39",39,99822,102250.566893424,60,0,480,31,480
"40",40,99232,98633.7868480726,60,0,480,53,480
