"","X","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested","sim"
"109",9,9,1979849,1982947.84580499,30,10,0,125,0,0,37.9281420817536,125,"N1b"
"110",10,10,1977733,1955102.04081633,30,10,0,125,0,0,38.093881282812,125,"N1b"
"111",11,11,1975642,1988480.72562358,30,10,0,125,0,0,38.2623893796272,125,"N1b"
"112",12,12,1973460,1985396.82539683,30,10,0,125,0,0,38.431017898535,125,"N1b"
"113",13,13,1971417,1957369.61451247,30,10,0,125,0,0,38.6175637054996,125,"N1b"
"114",14,14,1969269,1968888.88888889,30,10,0,125,0,0,38.7754819286769,125,"N1b"
"115",15,15,1967198,1968072.56235828,30,10,0,125,0,0,38.9490052260907,125,"N1b"
"116",16,16,1965039,1961814.05895692,30,10,0,125,0,0,39.1213473252997,125,"N1b"
"117",17,17,1962875,1965260.77097506,30,10,0,125,0,0,39.3026416303681,125,"N1b"
"118",18,18,1960773,1971519.27437642,30,10,0,125,0,0,39.4778825114078,125,"N1b"
"119",19,19,1958708,1941950.11337868,30,10,0,125,0,0,39.6513352920155,125,"N1b"
"120",20,20,1956624,1964807.25623583,30,10,0,125,0,0,39.8250464372606,125,"N1b"
"121",21,21,1954472,1960181.40589569,30,10,0,125,0,0,40.0014339439819,125,"N1b"
"122",22,22,1952397,1975238.0952381,30,10,0,125,0,0,40.1826390058586,125,"N1b"
"123",23,23,1950296,1964172.33560091,30,10,0,125,0,0,40.3533640279594,125,"N1b"
"124",24,24,1948186,1966893.42403628,30,10,0,125,0,0,40.5365340584549,125,"N1b"
"125",25,25,1946088,1927891.15646258,30,10,0,125,0,0,40.7127275058513,125,"N1b"
"126",26,26,1943998,1940317.46031746,30,10,0,125,0,0,40.8913600324036,125,"N1b"
"127",27,27,1941921,1942222.22222222,30,10,0,125,0,0,41.0601153692917,125,"N1b"
"128",28,28,1939774,1944761.9047619,30,10,0,125,0,0,41.2425675134214,125,"N1b"
"129",29,29,1937682,1925442.17687075,30,10,0,125,0,0,41.4264535309478,125,"N1b"
"130",30,30,1935534,1947755.10204082,30,10,0,125,0,0,41.6144151835421,125,"N1b"
"131",31,31,1933378,1932607.70975057,30,10,0,125,0,0,41.7994341435512,125,"N1b"
"132",32,32,1931226,1944036.28117914,30,10,0,125,0,0,41.9872003684865,125,"N1b"
