"","time_step","sim","available_yld","sim_yield","trees","perc_yld"
"1",1,"N1",24000,164.210940308929,2e+06,0.684212251287202
"2",2,"N1",24000,164.264562782013,1999741,0.684435678258388
"3",3,"N1",24000,164.29993196634,1999741,0.684583049859749
"4",4,"N1",24000,164.353052391143,1999347,0.684804384963097
"5",5,"N1",24000,164.440018869293,1999347,0.685166745288721
"6",6,"N1",24000,164.485576490667,1999208,0.685356568711114
"7",7,"N1",24000,164.528922446479,1999208,0.685537176860331
"8",8,"N1",24000,164.481607335155,1999191,0.685340030563145
"9",9,"N1",24000,164.541061382215,1998797,0.685587755759229
"10",10,"N1",24000,164.618828407813,1998797,0.685911785032554
"11",11,"N1",24000,164.618828407813,1998403,0.685911785032554
"12",12,"N1",24000,164.804032604192,1998009,0.686683469184134
"13",13,"N1",24000,164.889453244318,1998009,0.687039388517992
"14",14,"N1",24000,164.939711092074,1997844,0.687248796216977
"15",15,"N1",24000,164.996812693584,1997844,0.687486719556599
"16",16,"N1",24000,164.943599827069,1997844,0.687264999279456
"17",17,"N1",24000,164.998005711929,1997450,0.687491690466372
"18",18,"N1",24000,165.084444140521,1997450,0.687851850585504
"19",19,"N1",24000,165.130026023843,1997311,0.688041775099346
"20",20,"N1",24000,165.124286173363,1997311,0.688017859055681
"21",21,"N1",24000,165.124286173363,1996917,0.688017859055681
"22",22,"N1",24000,165.256541544604,1996523,0.688568923102518
"23",23,"N1",24000,165.392579057771,1996129,0.689135746074048
"24",24,"N1",24000,165.528877364758,1995735,0.689703655686492
"25",25,"N1",24000,165.660755871619,1995341,0.690253149465081
"26",26,"N1",24000,165.850812960366,1994947,0.691045054001524
"27",27,"N1",24000,165.926885174043,1994947,0.691362021558513
"28",28,"N1",24000,165.926885174043,1994553,0.691362021558513
"29",29,"N1",24000,166.114692435599,1994159,0.692144551814995
"30",30,"N1",24000,166.249882843106,1994159,0.69270784517961
"31",31,"N1",24000,166.199733735516,1994145,0.692498890564648
"32",32,"N1",24000,166.205677056537,1993751,0.692523654402236
"33",33,"N1",24000,166.338495131373,1993558,0.693077063047387
"34",34,"N1",24000,166.404179673839,1993164,0.693350748640995
"35",35,"N1",24000,166.592923993774,1992770,0.694137183307391
"36",36,"N1",24000,166.727685780251,1992770,0.694698690751045
"37",37,"N1",24000,166.729466396794,1992756,0.694706109986641
"38",38,"N1",24000,166.731714723765,1992756,0.694715478015686
"39",39,"N1",24000,166.732413262452,1992742,0.69471838859355
"40",40,"N1",24000,166.738390651827,1992735,0.694743294382613
"41",41,"N1",24000,166.690214699148,1992735,0.694542561246449
"42",42,"N1",24000,166.687473690324,1992556,0.69453114037635
"43",43,"N1",24000,166.746994955576,1992162,0.694779145648233
"44",44,"N1",24000,166.932846365007,1991768,0.695553526520864
"45",45,"N1",24000,167.012242979762,1991768,0.695884345749009
"46",46,"N1",24000,167.067542248604,1991374,0.696114759369184
"47",47,"N1",24000,167.196620827405,1991374,0.696652586780856
"48",48,"N1",24000,167.205031454798,1991347,0.696687631061659
"49",49,"N1",24000,167.210109080285,1991347,0.696708787834522
"50",50,"N1",24000,167.160240402577,1991333,0.696501001677406
"51",1,"N1a",24000,164.118919635996,2e+06,0.68382883181665
"52",2,"N1a",24000,164.247355699478,1999617,0.684363982081158
"53",3,"N1a",24000,164.248117831028,1999617,0.684367157629283
"54",4,"N1a",24000,164.378859659371,1999230,0.684911915247379
"55",5,"N1a",24000,164.509992412473,1999230,0.685458301718638
"56",6,"N1a",24000,164.380243195448,1999230,0.684917679981033
"57",7,"N1a",24000,164.507644240031,1998844,0.685448517666796
"58",8,"N1a",24000,164.64394418109,1998844,0.686016434087875
"59",9,"N1a",24000,164.647499618104,1998844,0.686031248408767
"60",10,"N1a",24000,164.517432065848,1998844,0.685489300274367
"61",11,"N1a",24000,164.648154163591,1998459,0.686033975681629
"62",12,"N1a",24000,164.645437282356,1998459,0.68602265534315
"63",13,"N1a",24000,164.643595753756,1998081,0.686014982307317
"64",14,"N1a",24000,164.901697585629,1997700,0.687090406606787
